name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code
Jorge Chávez International Airport,-12.0219,-77.114305,113,SA,PE,PE-LIM,Lima,SPJC,LIM
Launceston Airport,-41.54529953,147.2140045,562,OC,AU,AU-TAS,Launceston,YMLT,LST
Sunshine Coast Airport,-26.6033,153.091003,15,OC,AU,AU-QLD,Maroochydore,YBSU,MCY
Melbourne International Airport,-37.673302,144.843002,434,OC,AU,AU-VIC,Melbourne,YMML,MEL
Mackay Airport,-21.17169952,149.1799927,19,OC,AU,AU-QLD,Mackay,YBMK,MKY
Ninoy Aquino International Airport,14.5086,121.019997,75,AS,PH,PH-00,Manila,RPLL,MNL
Moranbah Airport,-22.05780029,148.0769959,770,OC,AU,AU-QLD,Moranbah,YMRB,MOV
Mildura Airport,-34.22919846,142.0859985,167,OC,AU,AU-VIC,Mildura,YMIA,MQL
Sir Seewoosagur Ramgoolam International Airport,-20.430201,57.683601,186,AF,MU,MU-GP,Port Louis,FIMP,MRU
Munda Airport,-8.327969551,157.2630005,10,OC,SB,SB-WE,,AGGM,MUA
Nadi International Airport,-17.7553997,177.4429932,59,OC,FJ,FJ-W,Nadi,NFFN,NAN
Nanjing Lukou Airport,31.74200058,118.8619995,49,AS,CN,CN-32,Nanjing,ZSNJ,NKG
Norfolk Island International Airport,-29.04159927,167.9389954,371,OC,NF,NF-U-A,Burnt Pine,YSNF,NLK
La Tontouta International Airport,-22.01460075,166.2129974,52,OC,NC,NC-U-A,Nouméa,NWWW,NOU
Newcastle Airport,-32.79499817,151.8339996,31,OC,AU,AU-NSW,Williamtown,YWLM,NTL
Gold Coast Airport,-28.1644001,153.5050049,21,OC,AU,AU-QLD,Gold Coast,YBCG,OOL
Perth International Airport,-31.94029999,115.9670029,67,OC,AU,AU-WA,Perth,YPPH,PER
Port Hedland International Airport,-20.37779999,118.6259995,33,OC,AU,AU-WA,Port Hedland,YPPD,PHE
Port Lincoln Airport,-34.6053009,135.8800049,36,OC,AU,AU-SA,Port Lincoln,YPLC,PLO
Port Moresby Jacksons International Airport,-9.443380356,147.2200012,146,OC,PG,PG-NCD,Port Moresby,AYPY,POM
Proserpine Whitsunday Coast Airport,-20.49500084,148.552002,82,OC,AU,AU-QLD,Proserpine,YBPN,PPP
Port Macquarie Airport,-31.43580055,152.8630066,12,OC,AU,AU-NSW,Port Macquarie,YPMQ,PQQ
Rarotonga International Airport,-21.20269966,-159.8059998,19,OC,CK,CK-U-A,Avarua,NCRG,RAR
Rockhampton Airport,-23.38190079,150.4750061,34,OC,AU,AU-QLD,Rockhampton,YBRK,ROK
Comodoro Arturo Merino Benítez International Airport,-33.39300156,-70.78579712,1555,SA,CL,CL-RM,Santiago,SCEL,SCL
San Francisco International Airport,37.61899948,-122.375,13,NA,US,US-CA,San Francisco,KSFO,SFO
Tan Son Nhat International Airport,10.81879997,106.6520004,33,AS,VN,VN-23,Ho Chi Minh City,VVTS,SGN
Shanghai Hongqiao International Airport,31.19790077,121.3359985,10,AS,CN,CN-31,Shanghai,ZSSS,SHA
Singapore Changi Airport /  Changi Air Base (West),1.35019,103.994003,22,AS,SG,SG-04,Singapore,WSSS,SIN
Santo Pekoa International Airport,-15.50500011,167.2200012,184,OC,VU,VU-SAM,Luganville,NVSS,SON
Nausori International Airport,-18.04330063,178.5590057,17,OC,FJ,FJ-C,Nausori,NFNA,SUV
Sydney Kingsford Smith International Airport,-33.94609833,151.177002,21,OC,AU,AU-NSW,Sydney,YSSY,SYD
Shenzhen Bao'an International Airport,22.639299,113.810997,13,AS,CN,CN-44,"Bao'an, Shenzhen",ZGSZ,SZX
Liuting Airport,36.26610184,120.3740005,33,AS,CN,CN-37,Qingdao,ZSQD,TAO
Fua'amotu International Airport,-21.24119949,-175.1499939,126,OC,TO,TO-04,Nuku'alofa,NFTF,TBU
Tamworth Airport,-31.08390045,150.8470001,1334,OC,AU,AU-NSW,Tamworth,YSTW,TMW
Taiwan Taoyuan International Airport,25.0777,121.233002,106,AS,TW,TW-TAO,Taipei,RCTP,TPE
Tianjin Binhai International Airport,39.12440109,117.3460007,10,AS,CN,CN-12,Tianjin,ZBTJ,TSN
Townsville Airport,-19.25250053,146.7649994,18,OC,AU,AU-QLD,Townsville,YBTL,TSV
Can Tho International Airport,10.08510017,105.711998,9,AS,VN,VN-02,Can Tho,VVCT,VCA
Van Don International Airport,21.117778,107.414167,24,AS,VN,VN-13,Van Don,VVVD,VDO
