City Pair Route,,Year,Month,Revenue Passengers,Aircraft Trips,Rev Pax,Distance,Seats,,City Pair Route
MEL,MQL,2014,11,"16,471",395,67.4,457,"24,430", ,Melbourne - Mildura
MEL,MQL,2014,12,"16,388",379,66.4,457,"24,674", ,Melbourne - Mildura
MEL,NTL,2014,7,"37,282",275,76.8,836,"48,526",,Melbourne - Newcastle
MEL,NTL,2014,8,"36,208",272,75.9,836,"47,736", ,Melbourne - Newcastle
MEL,NTL,2014,9,"36,659",258,80.6,836,"45,472", ,Melbourne - Newcastle
MEL,NTL,2014,10,"40,971",275,84.4,836,"48,522", ,Melbourne - Newcastle
MEL,NTL,2014,11,"38,495",252,86.9,836,"44,317", ,Melbourne - Newcastle
MEL,NTL,2014,12,"35,868",247,82.8,836,"43,297", ,Melbourne - Newcastle
MEL,OOL,2014,7,"152,421",962,85.7,"1,330","177,782",,Gold Coast - Melbourne
MEL,OOL,2014,8,"147,083",910,87.7,"1,330","167,744", ,Gold Coast - Melbourne
MEL,OOL,2014,9,"154,564",944,88.7,"1,330","174,286", ,Gold Coast - Melbourne
MEL,OOL,2014,10,"167,164",999,90.6,"1,330","184,556", ,Gold Coast - Melbourne
MEL,OOL,2014,11,"145,827",903,87.8,"1,330","166,080", ,Gold Coast - Melbourne
MEL,OOL,2014,12,"161,327","1,069",81.3,"1,330","198,534", ,Gold Coast - Melbourne
MEL,PER,2014,7,"185,589","1,068",78.3,"2,706","237,148",,Melbourne - Perth
MEL,PER,2014,8,"171,182",984,77.7,"2,706","220,311", ,Melbourne - Perth
MEL,PER,2014,9,"170,919","1,063",71.9,"2,706","237,580", ,Melbourne - Perth
MEL,PER,2014,10,"197,645","1,101",78.4,"2,706","252,099", ,Melbourne - Perth
MEL,PER,2014,11,"179,884","1,016",77.9,"2,706","230,836", ,Melbourne - Perth
MEL,PER,2014,12,"194,444","1,101",77.5,"2,706","250,932", ,Melbourne - Perth
MEL,SYD,2014,7,"700,207","4,723",81.4,706,"860,577",,Melbourne - Sydney
MEL,SYD,2014,8,"707,012","4,727",82.9,706,"852,819", ,Melbourne - Sydney
MEL,SYD,2014,9,"688,231","4,802",79.8,706,"862,794", ,Melbourne - Sydney
MEL,SYD,2014,10,"761,619","4,973",84.9,706,"896,625", ,Melbourne - Sydney
MEL,SYD,2014,11,"734,701","4,768",85.4,706,"860,509", ,Melbourne - Sydney
MEL,SYD,2014,12,"688,886","4,695",83.3,706,"827,161", ,Melbourne - Sydney
OOL,SYD,2014,7,"218,785","1,575",79.9,680,"273,783",,Gold Coast - Sydney
OOL,SYD,2014,8,"202,233","1,457",80.8,680,"250,161", ,Gold Coast - Sydney
OOL,SYD,2014,9,"216,637","1,542",80.7,680,"268,613", ,Gold Coast - Sydney
OOL,SYD,2014,10,"246,911","1,634",86.4,680,"285,873", ,Gold Coast - Sydney
OOL,SYD,2014,11,"216,712","1,434",86.9,680,"249,291", ,Gold Coast - Sydney
OOL,SYD,2014,12,"237,240","1,603",84.5,680,"280,755", ,Gold Coast - Sydney
PER,PHE,2014,7,"44,686",445,66.3,"1,312","67,355",,Perth - Port Hedland
PER,PHE,2014,8,"40,738",412,64.1,"1,312","63,527", ,Perth - Port Hedland
PER,PHE,2014,9,"41,993",422,64,"1,312","65,614", ,Perth - Port Hedland
PER,PHE,2014,10,"42,917",439,62.8,"1,312","68,346", ,Perth - Port Hedland
PER,PHE,2014,11,"39,122",397,63.9,"1,312","61,244", ,Perth - Port Hedland
PER,PHE,2014,12,"35,736",401,57.7,"1,312","61,963", ,Perth - Port Hedland
PER,SYD,2014,7,"149,223",752,77.7,"3,284","192,085",,Perth - Sydney
PER,SYD,2014,8,"142,631",718,78.8,"3,284","180,891", ,Perth - Sydney
PER,SYD,2014,9,"145,762",726,80.2,"3,284","181,803", ,Perth - Sydney
PER,SYD,2014,10,"164,119",768,83.9,"3,284","195,619", ,Perth - Sydney
PER,SYD,2014,11,"150,818",734,81.3,"3,284","185,589", ,Perth - Sydney
PER,SYD,2014,12,"165,296",773,84,"3,284","196,686", ,Perth - Sydney
PER,ZNE,2014,7,"33,343",393,54.4,"1,019","61,294",,Newman - Perth
PER,ZNE,2014,8,"29,125",350,53.7,"1,019","54,284", ,Newman - Perth
PER,ZNE,2014,9,"30,522",368,53.5,"1,019","57,034", ,Newman - Perth
PER,ZNE,2014,10,"31,997",386,54.1,"1,019","59,120", ,Newman - Perth
PER,ZNE,2014,11,"28,887",346,56.8,"1,019","50,874", ,Newman - Perth
PER,ZNE,2014,12,"28,318",347,56.1,"1,019","50,514", ,Newman - Perth
PQQ,SYD,2014,7,"14,936",399,66.5,321,"22,470",,Port Macquarie - Sydney
PQQ,SYD,2014,8,"15,500",390,69.7,321,"22,231", ,Port Macquarie - Sydney
PQQ,SYD,2014,9,"15,265",390,68.8,321,"22,202", ,Port Macquarie - Sydney
PQQ,SYD,2014,10,"17,143",406,73.9,321,"23,200", ,Port Macquarie - Sydney
PQQ,SYD,2014,11,"16,198",375,73.7,321,"21,971", ,Port Macquarie - Sydney
PQQ,SYD,2014,12,"17,060",398,72.4,321,"23,572", ,Port Macquarie - Sydney
QNA,SYD,2014,7,"27,904",267,73.1,612,"38,190",,Ballina - Sydney
QNA,SYD,2014,8,"23,877",240,73.7,612,"32,407", ,Ballina - Sydney
QNA,SYD,2014,9,"29,099",267,76.6,612,"37,990", ,Ballina - Sydney
QNA,SYD,2014,10,"28,475",261,80.5,612,"35,356", ,Ballina - Sydney
QNA,SYD,2014,11,"26,277",230,82.4,612,"31,908", ,Ballina - Sydney
QNA,SYD,2014,12,"29,521",256,76.4,612,"38,654", ,Ballina - Sydney
SYD,TSV,2014,7,"17,020",120,85.7,"1,690","19,868",,Sydney - Townsville
SYD,TSV,2014,8,"15,743",116,83.2,"1,690","18,914", ,Sydney - Townsville
SYD,TSV,2014,9,"16,274",118,84,"1,690","19,380", ,Sydney - Townsville
SYD,TSV,2014,10,"15,846",120,80.5,"1,690","19,696", ,Sydney - Townsville
SYD,TSV,2014,11,"13,537",105,79.5,"1,690","17,028", ,Sydney - Townsville
SYD,TSV,2014,12,"17,067",128,80.9,"1,690","21,104", ,Sydney - Townsville
SYD,WGA,2014,7,"15,212",510,61.5,367,"24,748",,Sydney - Wagga Wagga
SYD,WGA,2014,8,"16,376",508,65.5,367,"25,001", ,Sydney - Wagga Wagga
SYD,WGA,2014,9,"16,789",500,67.8,367,"24,760", ,Sydney - Wagga Wagga
SYD,WGA,2014,10,"17,506",507,69.4,367,"25,232", ,Sydney - Wagga Wagga
SYD,WGA,2014,11,"16,249",482,68.4,367,"23,764", ,Sydney - Wagga Wagga
SYD,WGA,2014,12,"14,595",434,65.7,367,"22,209", ,Sydney - Wagga Wagga
