Date,Stop_1,Stop_2,Year,Month,Distance,Seats,Flights,Revenue_Percent,Passengers,Route,Crutch,Type
1-Oct-19,QNA,SYD,2019,10,612,44560,288,89,39668,Ballina - Sydney,10,Regional
1-Nov-19,QNA,SYD,2019,11,612,39262,257,89,34762,Ballina - Sydney,11,Regional
1-Dec-19,QNA,SYD,2019,12,612,48296,292,85,41190,Ballina - Sydney,12,Regional
1-Jan-20,QNA,SYD,2020,1,612,55366,311,85,46982,Ballina - Sydney,13,Regional
1-Feb-20,QNA,SYD,2020,2,612,38922,248,84,32604,Ballina - Sydney,14,Regional
1-Mar-20,QNA,SYD,2020,3,612,33310,218,68,22563,Ballina - Sydney,15,Regional
1-Apr-20,QNA,SYD,2020,4,612,,,,,Ballina - Sydney,16,Regional
1-May-20,QNA,SYD,2020,5,612,3814,32,62,2367,Ballina - Sydney,17,Regional
1-Jun-20,QNA,SYD,2020,6,612,6503,72,86,5583,Ballina - Sydney,18,Regional
1-Jul-20,QNA,SYD,2020,7,612,34705,258,77,26844,Ballina - Sydney,19,Regional
1-Aug-20,QNA,SYD,2020,8,612,35314,268,75,26626,Ballina - Sydney,20,Regional
1-Sep-20,QNA,SYD,2020,9,612,41472,311,85,35315,Ballina - Sydney,21,Regional
1-Oct-20,QNA,SYD,2020,10,612,56187,434,89,49871,Ballina - Sydney,22,Regional
1-Nov-20,QNA,SYD,2020,11,612,60219,432,87,52504,Ballina - Sydney,23,Regional
1-Dec-20,QNA,SYD,2020,12,612,77934,508,68,52850,Ballina - Sydney,24,Regional
1-Jan-21,QNA,SYD,2021,1,612,74668,468,73,54235,Ballina - Sydney,25,Regional
1-Feb-21,QNA,SYD,2021,2,612,54246,383,76,40967,Ballina - Sydney,26,Regional
1-Mar-21,QNA,SYD,2021,3,612,63151,481,71,44881,Ballina - Sydney,27,Regional
1-Apr-21,QNA,SYD,2021,4,612,71806,525,64,46051,Ballina - Sydney,28,Regional
1-May-21,QNA,SYD,2021,5,612,63284,474,68,43069,Ballina - Sydney,29,Regional
1-Jun-21,QNA,SYD,2021,6,612,54172,412,67,36407,Ballina - Sydney,30,Regional
1-Jan-19,SYD,TMW,2019,1,320,22719,346,58,13152,Sydney - Tamworth,1,Regional
1-Feb-19,SYD,TMW,2019,2,320,20523,320,59,12179,Sydney - Tamworth,2,Regional
1-Mar-19,SYD,TMW,2019,3,320,23062,356,65,15013,Sydney - Tamworth,3,Regional
1-Apr-19,SYD,TMW,2019,4,320,21765,340,65,14099,Sydney - Tamworth,4,Regional
1-May-19,SYD,TMW,2019,5,320,23462,365,66,15440,Sydney - Tamworth,5,Regional
1-Jun-19,SYD,TMW,2019,6,320,21241,333,66,14047,Sydney - Tamworth,6,Regional
1-Jul-19,SYD,TMW,2019,7,320,23655,367,61,14404,Sydney - Tamworth,7,Regional
1-Aug-19,SYD,TMW,2019,8,320,22083,346,67,14887,Sydney - Tamworth,8,Regional
1-Sep-19,SYD,TMW,2019,9,320,21464,339,71,15271,Sydney - Tamworth,9,Regional
1-Oct-19,SYD,TMW,2019,10,320,23449,370,67,15764,Sydney - Tamworth,10,Regional
1-Nov-19,SYD,TMW,2019,11,320,23273,386,70,16383,Sydney - Tamworth,11,Regional
1-Dec-19,SYD,TMW,2019,12,320,21198,346,64,13651,Sydney - Tamworth,12,Regional
1-Jan-20,SYD,TMW,2020,1,320,21608,349,62,13401,Sydney - Tamworth,13,Regional
1-Feb-20,SYD,TMW,2020,2,320,21622,353,61,13240,Sydney - Tamworth,14,Regional
1-Mar-20,SYD,TMW,2020,3,320,18910,315,48,9023,Sydney - Tamworth,15,Regional
1-Apr-20,SYD,TMW,2020,4,320,,,,,Sydney - Tamworth,16,Regional
1-May-20,SYD,TMW,2020,5,320,,,,,Sydney - Tamworth,17,Regional
1-Jun-20,SYD,TMW,2020,6,320,,,,,Sydney - Tamworth,18,Regional
1-Jul-20,SYD,TMW,2020,7,320,,,,,Sydney - Tamworth,19,Regional
1-Aug-20,SYD,TMW,2020,8,320,,,,,Sydney - Tamworth,20,Regional
1-Sep-20,SYD,TMW,2020,9,320,,,,,Sydney - Tamworth,21,Regional
1-Oct-20,SYD,TMW,2020,10,320,,,,,Sydney - Tamworth,22,Regional
1-Nov-20,SYD,TMW,2020,11,320,,,,,Sydney - Tamworth,23,Regional
1-Dec-20,SYD,TMW,2020,12,320,,,,,Sydney - Tamworth,24,Regional
1-Jan-21,SYD,TMW,2021,1,320,,,,,Sydney - Tamworth,25,Regional
1-Feb-21,SYD,TMW,2021,2,320,,,,,Sydney - Tamworth,26,Regional
1-Mar-21,SYD,TMW,2021,3,320,,,,,Sydney - Tamworth,27,Regional
1-Apr-21,SYD,TMW,2021,4,320,,,,,Sydney - Tamworth,28,Regional
1-May-21,SYD,TMW,2021,5,320,,,,,Sydney - Tamworth,29,Regional
1-Jun-21,SYD,TMW,2021,6,320,,,,,Sydney - Tamworth,30,Regional
1-Jan-19,SYD,TSV,2019,1,"1,690",19328,108,78,15146,Sydney - Townsville,1,Regional
1-Feb-19,SYD,TSV,2019,2,"1,690",12838,74,66,8515,Sydney - Townsville,2,Regional
1-Mar-19,SYD,TSV,2019,3,"1,690",14388,82,79,11307,Sydney - Townsville,3,Regional
1-Apr-19,SYD,TSV,2019,4,"1,690",18592,106,82,15246,Sydney - Townsville,4,Regional
1-May-19,SYD,TSV,2019,5,"1,690",17016,94,74,12601,Sydney - Townsville,5,Regional
1-Jun-19,SYD,TSV,2019,6,"1,690",14652,82,82,11982,Sydney - Townsville,6,Regional
1-Jul-19,SYD,TSV,2019,7,"1,690",22020,124,87,19142,Sydney - Townsville,7,Regional
1-Aug-19,SYD,TSV,2019,8,"1,690",20080,114,82,16490,Sydney - Townsville,8,Regional
1-Sep-19,SYD,TSV,2019,9,"1,690",19680,112,83,16365,Sydney - Townsville,9,Regional
1-Oct-19,SYD,TSV,2019,10,"1,690",19290,108,86,16535,Sydney - Townsville,10,Regional
1-Nov-19,SYD,TSV,2019,11,"1,690",17056,100,80,13662,Sydney - Townsville,11,Regional
1-Dec-19,SYD,TSV,2019,12,"1,690",19712,111,84,16486,Sydney - Townsville,12,Regional
1-Jan-20,SYD,TSV,2020,1,"1,690",17998,104,80,14360,Sydney - Townsville,13,Regional
1-Feb-20,SYD,TSV,2020,2,"1,690",10938,64,74,8097,Sydney - Townsville,14,Regional
1-Mar-20,SYD,TSV,2020,3,"1,690",9956,58,66,6579,Sydney - Townsville,15,Regional
1-Apr-20,SYD,TSV,2020,4,"1,690",,,,,Sydney - Townsville,16,Regional
1-May-20,SYD,TSV,2020,5,"1,690",,,,,Sydney - Townsville,17,Regional
1-Jun-20,SYD,TSV,2020,6,"1,690",,,,,Sydney - Townsville,18,Regional
1-Jul-20,SYD,TSV,2020,7,"1,690",,,,,Sydney - Townsville,19,Regional
1-Aug-20,SYD,TSV,2020,8,"1,690",,,,,Sydney - Townsville,20,Regional
1-Sep-20,SYD,TSV,2020,9,"1,690",,,,,Sydney - Townsville,21,Regional
1-Oct-20,SYD,TSV,2020,10,"1,690",,,,,Sydney - Townsville,22,Regional
1-Nov-20,SYD,TSV,2020,11,"1,690",,,,,Sydney - Townsville,23,Regional
1-Dec-20,SYD,TSV,2020,12,"1,690",,,,,Sydney - Townsville,24,Regional
1-Jan-21,SYD,TSV,2021,1,"1,690",,,,,Sydney - Townsville,25,Regional
1-Feb-21,SYD,TSV,2021,2,"1,690",,,,,Sydney - Townsville,26,Regional
1-Mar-21,SYD,TSV,2021,3,"1,690",,,,,Sydney - Townsville,27,Regional
1-Apr-21,SYD,TSV,2021,4,"1,690",,,,,Sydney - Townsville,28,Regional
1-May-21,SYD,TSV,2021,5,"1,690",,,,,Sydney - Townsville,29,Regional
1-Jun-21,SYD,TSV,2021,6,"1,690",,,,,Sydney - Townsville,30,Regional
1-Jan-19,SYD,WGA,2019,1,367,16364,280,66,10837,Sydney - Wagga Wagga,1,Regional
1-Feb-19,SYD,WGA,2019,2,367,20117,390,63,12637,Sydney - Wagga Wagga,2,Regional
1-Mar-19,SYD,WGA,2019,3,367,23644,470,65,15406,Sydney - Wagga Wagga,3,Regional
1-Apr-19,SYD,WGA,2019,4,367,21637,425,67,14445,Sydney - Wagga Wagga,4,Regional
1-May-19,SYD,WGA,2019,5,367,24273,488,67,16217,Sydney - Wagga Wagga,5,Regional
1-Jun-19,SYD,WGA,2019,6,367,22375,457,67,15029,Sydney - Wagga Wagga,6,Regional
1-Jul-19,SYD,WGA,2019,7,367,24934,493,63,15591,Sydney - Wagga Wagga,7,Regional
1-Aug-19,SYD,WGA,2019,8,367,24092,474,69,16546,Sydney - Wagga Wagga,8,Regional
1-Sep-19,SYD,WGA,2019,9,367,24520,490,68,16646,Sydney - Wagga Wagga,9,Regional
1-Oct-19,SYD,WGA,2019,10,367,25014,503,69,17146,Sydney - Wagga Wagga,10,Regional
1-Nov-19,SYD,WGA,2019,11,367,23364,468,69,16171,Sydney - Wagga Wagga,11,Regional
1-Dec-19,SYD,WGA,2019,12,367,20061,392,70,14009,Sydney - Wagga Wagga,12,Regional
1-Jan-20,SYD,WGA,2020,1,367,15881,290,71,11189,Sydney - Wagga Wagga,13,Regional
1-Feb-20,SYD,WGA,2020,2,367,21148,427,65,13634,Sydney - Wagga Wagga,14,Regional
1-Mar-20,SYD,WGA,2020,3,367,18871,385,50,9344,Sydney - Wagga Wagga,15,Regional
1-Apr-20,SYD,WGA,2020,4,367,2285,48,12,269,Sydney - Wagga Wagga,16,Regional
1-May-20,SYD,WGA,2020,5,367,1972,37,28,549,Sydney - Wagga Wagga,17,Regional
1-Jun-20,SYD,WGA,2020,6,367,,,,,Sydney - Wagga Wagga,18,Regional
1-Jul-20,SYD,WGA,2020,7,367,,,,,Sydney - Wagga Wagga,19,Regional
1-Aug-20,SYD,WGA,2020,8,367,,,,,Sydney - Wagga Wagga,20,Regional
1-Sep-20,SYD,WGA,2020,9,367,,,,,Sydney - Wagga Wagga,21,Regional
1-Oct-20,SYD,WGA,2020,10,367,,,,,Sydney - Wagga Wagga,22,Regional
1-Nov-20,SYD,WGA,2020,11,367,,,,,Sydney - Wagga Wagga,23,Regional
1-Dec-20,SYD,WGA,2020,12,367,,,,,Sydney - Wagga Wagga,24,Regional
1-Jan-21,SYD,WGA,2021,1,367,,,,,Sydney - Wagga Wagga,25,Regional
1-Feb-21,SYD,WGA,2021,2,367,,,,,Sydney - Wagga Wagga,26,Regional
1-Mar-21,SYD,WGA,2021,3,367,15852,268,54,8510,Sydney - Wagga Wagga,27,Regional
1-Apr-21,SYD,WGA,2021,4,367,19054,315,51,9773,Sydney - Wagga Wagga,28,Regional
1-May-21,SYD,WGA,2021,5,367,20078,335,54,10886,Sydney - Wagga Wagga,29,Regional
1-Jun-21,SYD,WGA,2021,6,367,18133,307,53,9679,Sydney - Wagga Wagga,30,Regional
